#{"t_start": 1769142679.8784785, "env_id": "None"}
r,l,t
23742.832916,200,1098.388156
21845.223958,200,1100.788971
-592.037813,7,1100.797229
24011.12841,200,1101.035738
23376.319385,200,1101.26882
22881.844292,200,1101.509791
22721.810644,200,1101.767316
-981.703928,1,1101.767316
21576.356837,200,1102.004991
-686.025796,5,1102.017293
22610.091715,200,1102.267971
23742.762447,200,1102.516355
-281.721689,11,1102.535867
21089.86573,200,1102.773705
24620.822162,200,1103.022807
23150.816838,200,1105.222152
23251.499407,200,1105.480575
-627.255029,6,1105.488765
23080.765108,200,1105.721183
21572.470256,200,1105.996297
22870.031579,200,1106.227636
-720.019565,10,1106.238
-71.244191,15,1106.262929
21691.410422,200,1106.51784
23514.990723,200,1106.773215
23988.943722,200,1107.00829
-332.116049,13,1107.028936
-1005.242667,1,1107.031486
22096.09623,200,1107.268755
-673.375612,10,1107.283496
22913.96639,200,1107.533746
-993.152796,1,1107.535772
22362.725694,200,1109.678437
22521.311877,200,1109.915461
-565.327166,14,1109.934527
24014.817314,200,1110.181697
-698.645455,6,1110.187701
21557.07093,200,1110.422931
23282.545468,200,1110.682418
22873.178359,200,1110.937424
24793.920888,200,1111.207412
23985.835686,200,1111.460103
20864.047598,200,1111.711418
23841.96066,200,1111.972008
22798.080425,200,1114.195675
208.193125,20,1114.229869
-857.143798,6,1114.242627
24198.741904,200,1114.518681
-296.208172,11,1114.545883
24282.158515,200,1114.820824
22651.861381,200,1115.079207
22900.786156,200,1115.3378
23536.686537,200,1115.578192
-849.844897,8,1115.588537
-981.126132,1,1115.591347
-910.016233,3,1115.595678
-993.283676,3,1115.600719
22901.973176,200,1115.855324
22696.046009,200,1116.09827
23619.80095,200,1116.333701
-813.849208,9,1116.343197
23374.717152,200,1116.596808
22955.606472,200,1119.267143
23236.264591,200,1119.506029
22767.798188,200,1119.804474
-788.019509,7,1119.806858
23011.105114,200,1120.099337
-1004.472865,1,1120.099337
-271.52485,12,1120.12813
-451.649635,12,1120.156427
-436.43569,10,1120.219772
-890.371685,4,1120.230041
-994.970703,1,1120.23419
23551.803753,200,1120.482831
98.878956,18,1120.511609
22984.891352,200,1120.801984
22927.830321,200,1121.051389
24096.793798,200,1121.327601
-670.991925,6,1121.340072
22423.007202,200,1121.575557
23896.714916,200,1121.854761
-982.902414,1,1121.856772
22852.698874,200,1124.331224
23197.993802,200,1124.584512
24116.273004,200,1124.832669
-882.012159,5,1124.843276
-827.416006,6,1124.851954
21686.06583,200,1125.111032
22993.905795,200,1125.37395
23156.584952,200,1125.634884
23895.424989,200,1125.879461
23256.172234,200,1126.157781
-222.475262,10,1126.17381
24123.591834,200,1126.429682
23777.16264,200,1126.67787
22639.427973,200,1129.068048
22359.975287,200,1129.316875
23238.818112,200,1129.559916
23490.311998,200,1129.816264
21112.682051,200,1130.068704
22316.562447,200,1130.332685
21713.093418,200,1130.566851
22930.849567,200,1130.808183
22658.961901,200,1131.070266
23809.771633,200,1131.30578
-884.007412,9,1131.316183
-770.538385,8,1131.328178
-822.309272,7,1131.33799
184.13823,17,1131.36007
21960.773261,200,1133.524107
-492.9751,7,1133.532493
22401.752457,200,1133.773088
-836.839245,7,1133.78521
22589.261883,200,1134.036973
-196.087748,14,1134.057741
-861.462024,6,1134.06699
21398.670997,200,1134.299362
22209.483429,200,1134.554781
23208.950625,200,1134.811048
-775.215392,10,1134.823743
23173.638832,200,1135.118207
22099.160832,200,1135.375221
21473.709415,200,1135.632168
21916.144392,200,1135.864216
21658.952582,200,1138.49173
22958.229868,200,1138.728051
-801.141158,5,1138.737725
23776.878757,200,1138.990247
-933.34266,9,1139.012753
22029.651153,200,1139.242643
21348.755216,200,1139.487225
21611.434071,200,1139.71441
-846.541268,12,1139.735885
-574.772656,9,1139.746256
23076.946186,200,1139.993182
22030.532134,200,1140.236712
21973.605225,200,1140.515253
-704.821676,8,1140.525481
-550.690084,7,1140.536277
-855.365781,6,1140.539455
23501.737929,200,1140.810851
-831.824362,6,1140.821357
-983.732577,1,1140.828485
22376.374184,200,1143.258077
23725.149672,200,1143.514912
-922.838345,6,1143.524053
22733.572318,200,1143.766324
21783.070525,200,1144.023143
22460.948589,200,1144.268927
22367.837148,200,1144.542009
22796.639918,200,1144.778715
23067.176776,200,1145.0542
-115.85946,13,1145.073175
23779.138731,200,1145.326396
-443.435615,9,1145.336494
-1010.374262,1,1145.34612
23510.056957,200,1145.591444
22128.876851,200,1147.775789
-993.366401,1,1147.776763
-434.027321,8,1147.788872
21427.63569,200,1148.038785
-1000.955414,1,1148.038785
21333.668896,200,1148.305705
-135.074495,15,1148.32404
23442.100825,200,1148.618499
-56.54274,15,1148.640336
23619.522557,200,1148.901036
21904.216771,200,1149.14508
24543.818721,200,1149.386679
24146.630575,200,1149.640191
23400.215721,200,1149.924494
23594.943643,200,1150.157963
-721.696239,7,1150.166202
21434.788436,200,1152.334227
23069.821453,200,1152.572079
23338.102507,200,1152.81485
-931.401817,2,1152.822702
-801.47639,11,1152.836697
22432.172475,200,1153.072395
22902.866293,200,1153.311811
23979.359269,200,1153.568751
23540.494908,200,1153.819746
-461.865273,12,1153.837433
-608.472084,12,1153.855023
23625.870876,200,1154.089648
23863.226229,200,1154.329077
-975.898816,1,1154.329077
23679.306436,200,1154.618498
24209.359125,200,1157.120297
23787.213767,200,1157.391227
22632.780238,200,1157.640023
22349.574898,200,1157.914891
-958.623792,2,1157.92046
23167.009452,200,1158.20073
23549.631114,200,1158.457565
-527.310129,11,1158.47575
23166.008516,200,1158.728364
23327.389283,200,1158.987316
23741.08272,200,1159.26014
22548.244686,200,1159.506114
23364.974555,200,1161.712471
23205.595512,200,1161.954591
-999.866486,5,1161.964436
22901.361005,200,1162.217811
393.421057,21,1162.243337
22125.603045,200,1162.490704
-931.290345,3,1162.494555
15.919449,15,1162.514333
23194.943679,200,1162.769788
22656.766595,200,1163.048607
23818.323885,200,1163.296699
-857.152383,6,1163.31108
-828.723656,10,1163.325638
23428.353198,200,1163.618145
22331.394892,200,1163.874069
23002.780432,200,1164.128574
22765.329613,200,1166.344276
-785.221279,10,1166.3543
22891.933315,200,1166.601493
23724.882654,200,1166.831837
22714.439676,200,1167.09028
22914.13104,200,1167.344264
23354.469126,200,1167.573304
23854.441131,200,1167.816602
22988.735812,200,1168.059832
22172.596427,200,1168.293952
-721.303604,9,1168.309466
-896.776164,5,1168.315033
22557.660239,200,1168.558569
22661.706707,200,1170.82432
22294.034472,200,1171.068866
-27.093406,18,1171.101141
23747.421229,200,1171.347949
23557.650505,200,1171.578706
22193.813934,200,1171.850618
23760.670363,200,1172.148508
-256.589017,10,1172.170565
22760.994577,200,1172.415066
-885.201012,5,1172.425493
-808.657251,12,1172.444458
23095.534516,200,1172.694863
-492.70278,9,1172.707232
-889.412737,6,1172.715506
22098.493675,200,1172.975552
22217.099928,200,1173.239788
22017.796894,200,1175.416803
23093.90851,200,1175.637205
22502.190335,200,1175.884903
-956.55323,4,1175.895135
24190.757833,200,1176.141032
23630.333344,200,1176.384619
-728.632092,8,1176.39131
-718.093738,11,1176.410416
23201.977321,200,1176.65541
22853.098217,200,1176.888602
-800.242492,9,1176.899168
24140.161599,200,1177.148522
22986.511349,200,1177.386322
22917.366766,200,1177.645586
23259.190358,200,1180.007539
24518.920799,200,1180.287352
-979.06261,1,1180.289964
-995.331873,1,1180.291718
22905.241201,200,1180.527994
23417.813806,200,1180.768969
-554.39295,12,1180.786781
23567.513187,200,1181.042873
-773.594594,11,1181.053237
23408.793702,200,1181.306132
23011.514065,200,1181.557618
24129.110868,200,1181.810177
-278.715221,11,1181.828223
22513.052414,200,1182.049787
23175.557038,200,1182.293404
24932.602576,200,1184.440185
24175.248446,200,1184.703228
-970.818458,1,1184.710092
23575.243978,200,1184.964666
-513.765595,9,1184.982239
-7.320191,14,1185.002523
22611.994917,200,1185.283312
22043.07914,200,1185.52924
23667.873038,200,1185.802949
23855.394777,200,1186.086567
-963.297428,6,1186.105156
-869.804233,6,1186.120112
-532.464022,7,1186.135753
22519.136994,200,1186.376975
24314.756403,200,1186.650311
-965.122333,2,1186.654863
22954.793743,200,1186.894895
-841.18837,7,1186.902242
22988.393842,200,1189.091683
21973.488454,200,1189.368757
22145.081177,200,1189.604269
21859.039978,200,1189.849684
-898.38245,9,1189.862635
-977.163582,8,1189.870417
-774.676471,4,1189.878213
22736.076085,200,1190.134373
-508.146072,10,1190.146607
-997.697672,1,1190.148614
22190.792081,200,1190.389367
21803.993166,200,1190.62264
23904.016461,200,1190.889205
-952.19185,3,1190.893333
24360.277326,200,1191.130916
23618.978808,200,1191.382245
23192.080354,200,1193.579362
23761.544521,200,1193.830735
-283.850941,10,1193.843858
22542.793135,200,1194.111865
-267.177813,12,1194.135071
-978.142244,1,1194.140109
21836.774515,200,1194.422302
-791.699777,7,1194.431064
23523.818266,200,1194.680799
24030.694283,200,1194.918141
-877.616591,7,1194.935196
-950.322637,7,1194.946181
-787.965435,8,1194.959327
-958.054309,5,1194.968412
22074.91611,200,1195.277978
23958.650324,200,1195.577226
-964.658898,1,1195.577226
22480.514229,200,1195.826005
24257.674332,200,1196.059407
-889.65381,4,1196.069524
-955.424753,1,1196.071625
22849.747112,200,1198.227824
22706.621568,200,1198.462544
-900.34162,4,1198.473805
24057.525575,200,1198.704669
24106.219756,200,1198.947942
-209.461916,13,1198.971731
22433.805227,200,1199.21771
23047.502158,200,1199.459925
-650.404715,8,1199.470028
21794.120114,200,1199.710093
-727.02018,6,1199.721051
-495.16929,8,1199.734495
23045.166523,200,1200.020427
24861.935857,200,1200.312701
23669.884512,200,1200.580014
23373.717025,200,1202.99429
22790.403257,200,1203.25294
23048.154805,200,1203.506023
21479.764986,200,1203.74515
-995.253879,1,1203.74515
23109.314926,200,1203.990196
24577.790342,200,1204.233346
23612.973659,200,1204.475934
23764.845813,200,1204.731465
-462.349241,9,1204.741204
23721.541128,200,1204.995927
23580.034282,200,1205.22838
22748.925808,200,1205.526587
22846.267361,200,1207.712882
23381.778844,200,1207.957886
