#{"t_start": 1769017336.1027758, "env_id": "None"}
r,l,t
18591.301173,200,2530.044252
18336.376325,200,2530.318807
26750.108977,200,2530.707483
24450.488816,200,2531.010152
21746.210843,200,2531.265945
3704.391401,43,2531.329623
-963.986981,1,2531.329623
22540.170651,200,2531.595124
14147.477266,200,2531.870861
23703.692106,200,2532.125657
11918.312977,200,2532.401397
22106.712194,200,2535.727852
14946.844294,200,2535.99374
21139.389896,200,2536.259017
22285.386117,200,2536.523381
11625.020788,165,2536.740162
7296.9464,123,2536.910735
25772.723844,200,2537.179654
16430.015677,200,2537.448291
22837.521744,200,2537.714463
9493.092417,185,2537.961195
15109.64628,200,2538.227207
17852.614027,200,2541.508792
16752.098796,200,2541.759076
9496.221071,127,2541.932685
22995.974179,200,2542.199029
21724.640276,200,2542.465262
18306.248765,200,2542.730496
19879.949305,200,2543.007872
2726.47075,38,2543.057291
1488.066694,30,2543.08815
16916.246845,200,2543.375238
18560.634454,185,2543.623146
18250.946628,180,2543.857374
20626.751464,200,2547.153514
14784.735013,200,2547.428986
19562.110426,200,2547.687362
19243.210916,200,2547.956895
9568.094653,200,2548.224345
24818.439916,200,2548.492061
22383.947105,200,2548.760988
21119.432384,200,2549.021914
22821.995227,200,2549.289346
18476.571614,200,2549.54564
21806.435379,200,2553.15272
18258.978213,200,2553.409777
21449.612484,179,2553.648116
22964.28156,200,2553.914241
18169.67085,200,2554.183392
19979.964135,200,2554.449017
23855.52786,200,2554.728141
24952.231357,200,2554.984613
22376.449916,200,2555.256037
22624.263865,200,2555.520656
22763.632594,200,2555.786607
16607.507476,200,2559.042273
26261.842548,200,2559.30907
19063.456503,200,2559.572879
22210.101134,200,2559.841113
24213.281328,200,2560.108673
16352.770028,200,2560.36814
17132.327772,200,2560.625879
23786.387935,200,2560.894872
24445.01135,200,2561.153666
21386.933097,200,2561.420645
10518.705053,139,2564.856214
11540.715341,200,2565.114535
13543.227545,200,2565.383876
19842.968061,200,2565.642675
25217.921174,200,2565.910141
15539.569392,200,2566.173527
735.460074,26,2566.207887
21276.136379,200,2566.470376
18510.592749,200,2566.731217
17386.391937,200,2566.990033
21005.041981,200,2567.257351
15398.900153,200,2570.523898
23420.491681,200,2570.797243
23501.266363,200,2571.066715
17942.159438,200,2571.3318
23105.046793,200,2571.597178
-339.527252,12,2571.613337
18764.502501,200,2571.8832
15743.064409,200,2572.145329
13041.794712,200,2572.409026
-950.253729,1,2572.411042
21288.023867,200,2572.672294
17864.528201,200,2572.942046
16145.167684,200,2573.20643
20933.091491,200,2576.389553
19317.061575,200,2576.655085
3206.594683,42,2576.706784
2844.197728,40,2576.768299
20430.322232,200,2577.026221
19446.387306,200,2577.294246
24444.513951,200,2577.552243
23839.796264,200,2577.821124
